"","Temperature","Wing_Length","fit","se.fit"
"1",-10,1.5,0.183,52.7601982731871
"2",-9.87468671679198,1.5,0.183,52.4645281742278
"3",-9.74937343358396,1.5,0.183,52.1689712936362
"4",-9.62406015037594,1.5,0.183,51.8735293823211
"5",-9.49874686716792,1.5,0.183,51.5782042288775
"6",-9.3734335839599,1.5,0.183,51.2829976606087
"7",-9.24812030075188,1.5,0.183,50.9879115445828
"8",-9.12280701754386,1.5,0.183,50.6929477887235
"9",-8.99749373433584,1.5,0.183,50.3981083429365
"10",-8.87218045112782,1.5,0.183,50.1033952002729
"11",-8.7468671679198,1.5,0.183,49.8088103981316
"12",-8.62155388471178,1.5,0.183,49.5143560195006
"13",-8.49624060150376,1.5,0.183,49.2200341942414
"14",-8.37092731829574,1.5,0.183,48.9258471004151
"15",-8.24561403508772,1.5,0.183,48.631796965654
"16",-8.1203007518797,1.5,0.183,48.3378860685798
"17",-7.99498746867168,1.5,0.183,48.0441167402695
"18",-7.86967418546366,1.5,0.183,47.7504913657723
"19",-7.74436090225564,1.5,0.183,47.4570123856784
"20",-7.61904761904762,1.5,0.183,47.1636822977418
"21",-7.4937343358396,1.5,0.183,46.8705036585603
"22",-7.36842105263158,1.5,0.183,46.5774790853134
"23",-7.24310776942356,1.5,0.183,46.2846112575618
"24",-7.11779448621554,1.5,0.183,45.9919029191103
"25",-6.99248120300752,1.5,0.183,45.6993568799365
"26",-6.8671679197995,1.5,0.183,45.4069760181892
"27",-6.74185463659148,1.5,0.183,45.1147632822573
"28",-6.61654135338346,1.5,0.183,44.8227216929137
"29",-6.49122807017544,1.5,0.183,44.5308543455375
"30",-6.36591478696742,1.5,0.183,44.239164412416
"31",-6.2406015037594,1.5,0.183,43.9476551451315
"32",-6.11528822055138,1.5,0.183,43.6563298770358
"33",-5.98997493734336,1.5,0.183,43.3651920258162
"34",-5.86466165413534,1.5,0.183,43.0742450961565
"35",-5.73934837092732,1.5,0.183,42.783492682498
"36",-5.6140350877193,1.5,0.183,42.492938471903
"37",-5.48872180451128,1.5,0.183,42.2025862470274
"38",-5.36340852130326,1.5,0.183,41.9124398892057
"39",-5.23809523809524,1.5,0.183,41.6225033816528
"40",-5.11278195488722,1.5,0.183,41.3327808127895
"41",-4.9874686716792,1.5,0.183,41.043276379695
"42",-4.86215538847118,1.5,0.183,40.7539943916937
"43",-4.73684210526316,1.5,0.183,40.464939274081
"44",-4.61152882205514,1.5,0.183,40.1761155719951
"45",-4.48621553884712,1.5,0.183,39.8875279544399
"46",-4.3609022556391,1.5,0.183,39.599181218468
"47",-4.23558897243108,1.5,0.183,39.3110802935288
"48",-4.11027568922306,1.5,0.183,39.0232302459898
"49",-3.98496240601504,1.5,0.183,38.7356362838398
